467650_日月潭,23.8813,120.9081,南投縣
C0H890_埔里,23.9722,120.9524,南投縣
C0H950_中寮,23.8844,120.7664,南投縣
C0H960_草屯,23.9737,120.6809,南投縣
C0H990_昆陽,24.1213,121.2736,南投縣
C0H9A0_神木村,23.5327,120.8437,南投縣
C0H9C0_合歡山,24.1434,121.2725,南投縣
C0I010_廬山,24.0333,121.1818,南投縣
C0I080_信義,23.6897,120.851,南投縣
C0I090_鳳凰,23.7281,120.7873,南投縣
C0I110_竹山,23.7612,120.6882,南投縣
C0I360_水里,23.8126,120.8498,南投縣
C0I370_魚池,23.8957,120.9414,南投縣
C0I380_集集,23.8282,120.8015,南投縣
C0I390_仁愛,24.0221,121.1322,南投縣
C0I410_名間,23.8371,120.7014,南投縣
C0I420_國姓,24.0378,120.8551,南投縣
C0I460_南投,23.9132,120.6792,南投縣
C0I480_梅峰,24.0853,121.1736,南投縣
C0I490_萬大林道,23.9282,121.0914,南投縣
C0I520_玉山風口,23.4705,120.956,南投縣
C0I530_小奇萊,24.1318,121.2957,南投縣
C0I540_奇萊稜線,24.1092,121.3265,南投縣
C1H000_翠峰,24.1094,121.2052,南投縣
C1H860_瑞岩,24.1238,121.1835,南投縣
C1H900_清流,24.0808,120.963,南投縣
C1H920_長豐,24.102,120.8799,南投縣
C1H941_雙冬,23.9674,120.8022,南投縣
C1H971_六分寮,23.9251,120.6378,南投縣
C1H9B1_阿眉,24.1263,120.9947,南投縣
C1I020_萬大,23.9798,121.1323,南投縣
C1I030_武界,23.9132,121.0525,南投縣
C1I050_丹大,23.7537,121.1411,南投縣
C1I070_和社,23.5911,120.8889,南投縣
C1I101_溪頭,23.6618,120.8076,南投縣
C1I121_大鞍,23.6784,120.76,南投縣
C1I131_桶頭,23.6419,120.6541,南投縣
C1I140_卡奈托灣,23.7544,121.0879,南投縣
C1I150_青雲,23.7934,120.9494,南投縣
467770_梧棲,24.256,120.5234,臺中市
C0F000_大肚,24.153,120.5721,臺中市
C0F0A0_雪山圈谷,24.3886,121.2363,臺中市
C0F0B0_石岡,24.2761,120.7776,臺中市
C0F0C0_中坑,24.2485,120.9033,臺中市
C0F0D0_審馬陣,24.3817,121.4203,臺中市
C0F0E0_南湖圈谷,24.3637,121.4447,臺中市
C0F850_東勢,24.2464,120.833,臺中市
C0F861_梨山,24.2475,121.2437,臺中市
